"","year","net_income","total_assets"
"1021",2013,12935,89801
"1022",2013,3278,52097
"1023",2013,5629,216911
"1024",2013,94073,887180
"1025",2013,439,67902
"1026",2013,1230,47921
"1027",2013,23,25262
"1028",2013,86,7093
"1029",2013,1643,49212
"1030",2013,576,6911
"1031",2013,16277,185314
"1032",2013,4520,154234
"1033",2013,4392,27171
"1034",2013,30374,176502
"1035",2013,14,8470
"1036",2013,1171,597263
"1037",2013,3507,44752
"1038",2013,607,46455
"1039",2013,782,53588
"1040",2013,3764,705548
"1041",2013,706,10457
"1042",2013,35656,152341
"1043",2013,7887,509083
"1044",2013,26,4521
"1045",2013,14740,334155
"1046",2013,9261,442264
"1047",2013,390,25439
"1048",2013,2053,19563
"1049",2013,740,19699
"1050",2013,89,5661
"1051",2013,18285,707318
"1052",2013,5184,45303
"1053",2013,100,92465
"1054",2013,629,15631
"1055",2013,28037,257473
"1056",2013,1934,38480
"1057",2013,7831,88654
"1058",2013,5919,98596
"1059",2013,-822,56843
"1060",2013,218,55407
"1061",2013,5893,41236
"1062",2013,2228,30095
"1063",2013,40,4800
"1064",2013,26431,155077
"1065",2013,108724,238350
"1066",2013,10720,56950
"1067",2013,-142,7545
"1068",2013,1512,31389
"1069",2013,87095,179840
"1070",2013,1562,28335
"1071",2013,22488,118549
"1072",2013,31521,271996
"1073",2013,11542,238865
"1074",2013,168470,432553
"1075",2013,2882,40010
"1076",2013,-1197,25153
"1077",2013,-6849,330009
"1078",2013,87500,122175
"1079",2013,-80,18303
"1080",2013,150,18958
"1081",2013,3610,80344
"1082",2013,-7690,59313
"1083",2013,774,25992
"1084",2013,121497,561500
"1085",2013,-104,37120
"1086",2013,1135,57178
"1087",2013,35456,232305
"1088",2013,7138,29394
"1089",2013,528,67782
"1090",2013,149,30392
"1091",2013,178,123580
"1092",2013,8723,190421
"1093",2013,4119,87766
"1094",2013,-498,13843
"1095",2013,19686,454850
"1096",2013,1659,18644
"1097",2013,1204,48655
"1098",2013,-393,25883
"1099",2013,2234,21376
"1100",2013,2034,279321
"1101",2013,247,19062
"1102",2013,1036,31860
"1103",2013,4367,50627
"1104",2013,2617,153713
"1105",2013,75138,557183
"1106",2013,1750,37546
"1107",2013,1873,40772
"1108",2013,15583,49713
"1109",2013,-457,41896
"1110",2013,11587,144792
"1111",2013,611,74768
"1112",2013,2701,37441
"1113",2013,18317,208764
"1114",2013,-569,90277
"1115",2013,-33677,554745
"1116",2013,3,32185
"1117",2013,-1686,158277
"1118",2013,-4111,28068
"1119",2013,511,13283
"1120",2013,3761,59073
"1121",2013,2578,25844
"1122",2013,47000,136000
"1123",2013,48,580097
"1124",2013,968,43622
"1125",2013,2526249,2120067
"1126",2013,1864,36670
"1127",2013,4,189255
"1128",2013,7024,54387
"1129",2013,174841,1321791
"1130",2013,-52,49527
"1131",2013,-680,102025
"1132",2013,9957,90362
"1133",2013,43657,246112
"1134",2013,71775,538351
"1135",2013,907,21616
"1136",2013,-66,24591
"1137",2013,2589,102649
"1138",2013,968,43810
"1139",2013,2839,379041
"1140",2013,293,24261
"1141",2013,-10146,177508
"1142",2013,2852,12100
"1143",2013,34511,166054
"1144",2013,38414,200237
"1145",2013,57070,87651
"1146",2013,11531,12371
"1147",2013,300,1610069
"1148",2013,751,60708
"1149",2013,10,16462
"1150",2013,33527,194033
"1151",2013,12,23894
"1152",2013,11450,88880
"1153",2013,2797,65090
"1154",2013,-38,308719
"1155",2013,1851,26939
"1156",2013,12819431,7147554
